uniprot_id,elm,pathway_id,display_name
O14757,MOD_PIKK_1,R-HSA-5693616.1,Presynaptic phase of homologous DNA pairing and strand exchange
O14757,MOD_PIKK_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O14757,MOD_PIKK_1,R-HSA-69473.3,G2/M DNA damage checkpoint
O14757,MOD_PIKK_1,R-HSA-69601.1,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
O14757,MOD_PIKK_1,R-HSA-75035.1,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
O14757,MOD_PIKK_1,R-HSA-1433557.1,Signaling by SCF-KIT
O14757,MOD_PIKK_1,R-HSA-176187.2,Activation of ATR in response to replication stress
O14757,MOD_PIKK_1,R-HSA-5693607.1,Processing of DNA double-strand break ends
O14757,MOD_PIKK_1,R-HSA-5693616.1,Presynaptic phase of homologous DNA pairing and strand exchange
O14757,MOD_PIKK_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O14757,MOD_PIKK_1,R-HSA-69473.3,G2/M DNA damage checkpoint
O14757,MOD_PIKK_1,R-HSA-69601.1,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
O14757,MOD_PIKK_1,R-HSA-75035.1,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
O14777,LIG_Rb_LxCxE_1,R-HSA-2467813.1,Separation of Sister Chromatids
O14777,LIG_Rb_LxCxE_1,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O14777,LIG_Rb_LxCxE_1,R-HSA-5663220.1,RHO GTPases Activate Formins
O14777,LIG_Rb_LxCxE_1,R-HSA-68877.1,Mitotic Prometaphase
O14777,MOD_NEK2_1,R-HSA-2467813.1,Separation of Sister Chromatids
O14777,MOD_NEK2_1,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O14777,MOD_NEK2_1,R-HSA-5663220.1,RHO GTPases Activate Formins
O14777,MOD_NEK2_1,R-HSA-68877.1,Mitotic Prometaphase
O14920,DEG_Kelch_Keap1_1,R-HSA-1169091.1,Activation of NF-kappaB in B cells
O14920,DEG_Kelch_Keap1_1,R-HSA-168638.1,NOD1/2 Signaling Pathway
O14920,DEG_Kelch_Keap1_1,R-HSA-1810476.1,RIP-mediated NFkB activation via ZBP1
O14920,DEG_Kelch_Keap1_1,R-HSA-202424.2,Downstream TCR signaling
O14920,DEG_Kelch_Keap1_1,R-HSA-209543.1,p75NTR recruits signalling complexes
O14920,DEG_Kelch_Keap1_1,R-HSA-209560.1,NF-kB is activated and signals survival
O14920,DEG_Kelch_Keap1_1,R-HSA-2871837.1,FCERI mediated NF-kB activation
O14920,DEG_Kelch_Keap1_1,R-HSA-445989.1,TAK1 activates NFkB by phosphorylation and activation of IKKs complex
O14920,DEG_Kelch_Keap1_1,R-HSA-446652.2,Interleukin-1 signaling
O14920,DEG_Kelch_Keap1_1,R-HSA-5357905.1,Regulation of TNFR1 signaling
O14920,DEG_Kelch_Keap1_1,R-HSA-5357956.1,TNFR1-induced NFkappaB signaling pathway
O14920,DEG_Kelch_Keap1_1,R-HSA-5603027.1,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)
O14920,DEG_Kelch_Keap1_1,R-HSA-5603029.1,IkBA variant leads to EDA-ID
O14920,DEG_Kelch_Keap1_1,R-HSA-5607764.1,CLEC7A (Dectin-1) signaling
O14920,DEG_Kelch_Keap1_1,R-HSA-5684264.1,MAP3K8 (TPL2)-dependent MAPK1/3 activation
O14920,DEG_Kelch_Keap1_1,R-HSA-933542.1,TRAF6 mediated NF-kB activation
O14920,DEG_Kelch_Keap1_1,R-HSA-933543.1,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
O14920,DEG_Kelch_Keap1_1,R-HSA-937039.1,IRAK1 recruits IKK complex
O14920,DEG_Kelch_Keap1_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O14920,DEG_Kelch_Keap1_1,R-HSA-975144.1,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
O14920,MOD_Plk_1,R-HSA-1169091.1,Activation of NF-kappaB in B cells
O14920,MOD_Plk_1,R-HSA-168638.1,NOD1/2 Signaling Pathway
O14920,MOD_Plk_1,R-HSA-1810476.1,RIP-mediated NFkB activation via ZBP1
O14920,MOD_Plk_1,R-HSA-202424.2,Downstream TCR signaling
O14920,MOD_Plk_1,R-HSA-209543.1,p75NTR recruits signalling complexes
O14920,MOD_Plk_1,R-HSA-209560.1,NF-kB is activated and signals survival
O14920,MOD_Plk_1,R-HSA-2871837.1,FCERI mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-445989.1,TAK1 activates NFkB by phosphorylation and activation of IKKs complex
O14920,MOD_Plk_1,R-HSA-446652.2,Interleukin-1 signaling
O14920,MOD_Plk_1,R-HSA-5357905.1,Regulation of TNFR1 signaling
O14920,MOD_Plk_1,R-HSA-5357956.1,TNFR1-induced NFkappaB signaling pathway
O14920,MOD_Plk_1,R-HSA-5603027.1,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)
O14920,MOD_Plk_1,R-HSA-5603029.1,IkBA variant leads to EDA-ID
O14920,MOD_Plk_1,R-HSA-5607764.1,CLEC7A (Dectin-1) signaling
O14920,MOD_Plk_1,R-HSA-5684264.1,MAP3K8 (TPL2)-dependent MAPK1/3 activation
O14920,MOD_Plk_1,R-HSA-933542.1,TRAF6 mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-933543.1,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
O14920,MOD_Plk_1,R-HSA-937039.1,IRAK1 recruits IKK complex
O14920,MOD_Plk_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O14920,MOD_Plk_1,R-HSA-975144.1,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
O14920,MOD_Plk_1,R-HSA-1169091.1,Activation of NF-kappaB in B cells
O14920,MOD_Plk_1,R-HSA-168638.1,NOD1/2 Signaling Pathway
O14920,MOD_Plk_1,R-HSA-1810476.1,RIP-mediated NFkB activation via ZBP1
O14920,MOD_Plk_1,R-HSA-202424.2,Downstream TCR signaling
O14920,MOD_Plk_1,R-HSA-209543.1,p75NTR recruits signalling complexes
O14920,MOD_Plk_1,R-HSA-209560.1,NF-kB is activated and signals survival
O14920,MOD_Plk_1,R-HSA-2871837.1,FCERI mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-445989.1,TAK1 activates NFkB by phosphorylation and activation of IKKs complex
O14920,MOD_Plk_1,R-HSA-446652.2,Interleukin-1 signaling
O14920,MOD_Plk_1,R-HSA-5357905.1,Regulation of TNFR1 signaling
O14920,MOD_Plk_1,R-HSA-5357956.1,TNFR1-induced NFkappaB signaling pathway
O14920,MOD_Plk_1,R-HSA-5603027.1,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)
O14920,MOD_Plk_1,R-HSA-5603029.1,IkBA variant leads to EDA-ID
O14920,MOD_Plk_1,R-HSA-5607764.1,CLEC7A (Dectin-1) signaling
O14920,MOD_Plk_1,R-HSA-5684264.1,MAP3K8 (TPL2)-dependent MAPK1/3 activation
O14920,MOD_Plk_1,R-HSA-933542.1,TRAF6 mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-933543.1,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
O14920,MOD_Plk_1,R-HSA-937039.1,IRAK1 recruits IKK complex
O14920,MOD_Plk_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O14920,MOD_Plk_1,R-HSA-975144.1,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
O14920,MOD_Plk_1,R-HSA-1169091.1,Activation of NF-kappaB in B cells
O14920,MOD_Plk_1,R-HSA-168638.1,NOD1/2 Signaling Pathway
O14920,MOD_Plk_1,R-HSA-1810476.1,RIP-mediated NFkB activation via ZBP1
O14920,MOD_Plk_1,R-HSA-202424.2,Downstream TCR signaling
O14920,MOD_Plk_1,R-HSA-209543.1,p75NTR recruits signalling complexes
O14920,MOD_Plk_1,R-HSA-209560.1,NF-kB is activated and signals survival
O14920,MOD_Plk_1,R-HSA-2871837.1,FCERI mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-445989.1,TAK1 activates NFkB by phosphorylation and activation of IKKs complex
O14920,MOD_Plk_1,R-HSA-446652.2,Interleukin-1 signaling
O14920,MOD_Plk_1,R-HSA-5357905.1,Regulation of TNFR1 signaling
O14920,MOD_Plk_1,R-HSA-5357956.1,TNFR1-induced NFkappaB signaling pathway
O14920,MOD_Plk_1,R-HSA-5603027.1,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)
O14920,MOD_Plk_1,R-HSA-5603029.1,IkBA variant leads to EDA-ID
O14920,MOD_Plk_1,R-HSA-5607764.1,CLEC7A (Dectin-1) signaling
O14920,MOD_Plk_1,R-HSA-5684264.1,MAP3K8 (TPL2)-dependent MAPK1/3 activation
O14920,MOD_Plk_1,R-HSA-933542.1,TRAF6 mediated NF-kB activation
O14920,MOD_Plk_1,R-HSA-933543.1,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
O14920,MOD_Plk_1,R-HSA-937039.1,IRAK1 recruits IKK complex
O14920,MOD_Plk_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O14920,MOD_Plk_1,R-HSA-975144.1,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
O14965,DEG_APCC_DBOX_1,R-HSA-174178.1,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
O14965,DEG_APCC_DBOX_1,R-HSA-2565942.1,Regulation of PLK1 Activity at G2/M Transition
O14965,DEG_APCC_DBOX_1,R-HSA-4615885.1,SUMOylation of DNA replication proteins
O14965,DEG_APCC_DBOX_1,R-HSA-6804114.1,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
O14965,DEG_APCC_DBOX_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O14965,DEG_APCC_DBOX_1,R-HSA-8854518.1,AURKA Activation by TPX2
O14965,DEG_APCC_DBOX_1,R-HSA-8854521.1,Interaction between PHLDA1 and AURKA
O15151,DOC_USP7_MATH_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,DOC_USP7_MATH_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,DOC_USP7_MATH_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,DOC_USP7_MATH_1,R-HSA-69541.3,Stabilization of p53
O15151,DOC_USP7_MATH_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,DOC_USP7_MATH_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,DOC_USP7_MATH_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,DOC_USP7_MATH_1,R-HSA-69541.3,Stabilization of p53
O15151,DOC_USP7_MATH_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,DOC_USP7_MATH_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,DOC_USP7_MATH_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,DOC_USP7_MATH_1,R-HSA-69541.3,Stabilization of p53
O15151,DOC_USP7_MATH_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,DOC_USP7_MATH_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,DOC_USP7_MATH_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,DOC_USP7_MATH_1,R-HSA-69541.3,Stabilization of p53
O15151,LIG_14-3-3_CanoR_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,LIG_14-3-3_CanoR_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,LIG_14-3-3_CanoR_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,LIG_14-3-3_CanoR_1,R-HSA-69541.3,Stabilization of p53
O15151,MOD_PIKK_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O15151,MOD_PIKK_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O15151,MOD_PIKK_1,R-HSA-6804760.1,Regulation of TP53 Activity through Methylation
O15151,MOD_PIKK_1,R-HSA-69541.3,Stabilization of p53
O15169,DOC_ANK_TNKS_1,R-HSA-195253.1,Degradation of beta-catenin by the destruction complex
O15169,DOC_ANK_TNKS_1,R-HSA-196299.1,Beta-catenin phosphorylation cascade
O15169,DOC_ANK_TNKS_1,R-HSA-201681.1,TCF dependent signaling in response to WNT
O15169,DOC_ANK_TNKS_1,R-HSA-4641257.2,Degradation of AXIN
O15169,DOC_ANK_TNKS_1,R-HSA-4641262.3,Disassembly of the destruction complex and recruitment of AXIN to the membrane
O15169,DOC_ANK_TNKS_1,R-HSA-5339716.2,Misspliced GSK3beta mutants stabilize beta-catenin
O15169,DOC_ANK_TNKS_1,R-HSA-5358747.1,S33 mutants of beta-catenin aren't phosphorylated
O15169,DOC_ANK_TNKS_1,R-HSA-5358749.1,S37 mutants of beta-catenin aren't phosphorylated
O15169,DOC_ANK_TNKS_1,R-HSA-5358751.1,S45 mutants of beta-catenin aren't phosphorylated
O15169,DOC_ANK_TNKS_1,R-HSA-5358752.1,T41 mutants of beta-catenin aren't phosphorylated
O15169,DOC_ANK_TNKS_1,R-HSA-5467337.1,APC truncation mutants have impaired AXIN binding
O15169,DOC_ANK_TNKS_1,R-HSA-5467340.1,AXIN missense mutants destabilize the destruction complex
O15169,DOC_ANK_TNKS_1,R-HSA-5467348.2,Truncations of AMER1 destabilize the destruction complex
O15169,DOC_GSK3_Axin_1,R-HSA-195253.1,Degradation of beta-catenin by the destruction complex
O15169,DOC_GSK3_Axin_1,R-HSA-196299.1,Beta-catenin phosphorylation cascade
O15169,DOC_GSK3_Axin_1,R-HSA-201681.1,TCF dependent signaling in response to WNT
O15169,DOC_GSK3_Axin_1,R-HSA-4641257.2,Degradation of AXIN
O15169,DOC_GSK3_Axin_1,R-HSA-4641262.3,Disassembly of the destruction complex and recruitment of AXIN to the membrane
O15169,DOC_GSK3_Axin_1,R-HSA-5339716.2,Misspliced GSK3beta mutants stabilize beta-catenin
O15169,DOC_GSK3_Axin_1,R-HSA-5358747.1,S33 mutants of beta-catenin aren't phosphorylated
O15169,DOC_GSK3_Axin_1,R-HSA-5358749.1,S37 mutants of beta-catenin aren't phosphorylated
O15169,DOC_GSK3_Axin_1,R-HSA-5358751.1,S45 mutants of beta-catenin aren't phosphorylated
O15169,DOC_GSK3_Axin_1,R-HSA-5358752.1,T41 mutants of beta-catenin aren't phosphorylated
O15169,DOC_GSK3_Axin_1,R-HSA-5467337.1,APC truncation mutants have impaired AXIN binding
O15169,DOC_GSK3_Axin_1,R-HSA-5467340.1,AXIN missense mutants destabilize the destruction complex
O15169,DOC_GSK3_Axin_1,R-HSA-5467348.2,Truncations of AMER1 destabilize the destruction complex
O15169,DOC_PP2A_B56_1,R-HSA-195253.1,Degradation of beta-catenin by the destruction complex
O15169,DOC_PP2A_B56_1,R-HSA-196299.1,Beta-catenin phosphorylation cascade
O15169,DOC_PP2A_B56_1,R-HSA-201681.1,TCF dependent signaling in response to WNT
O15169,DOC_PP2A_B56_1,R-HSA-4641257.2,Degradation of AXIN
O15169,DOC_PP2A_B56_1,R-HSA-4641262.3,Disassembly of the destruction complex and recruitment of AXIN to the membrane
O15169,DOC_PP2A_B56_1,R-HSA-5339716.2,Misspliced GSK3beta mutants stabilize beta-catenin
O15169,DOC_PP2A_B56_1,R-HSA-5358747.1,S33 mutants of beta-catenin aren't phosphorylated
O15169,DOC_PP2A_B56_1,R-HSA-5358749.1,S37 mutants of beta-catenin aren't phosphorylated
O15169,DOC_PP2A_B56_1,R-HSA-5358751.1,S45 mutants of beta-catenin aren't phosphorylated
O15169,DOC_PP2A_B56_1,R-HSA-5358752.1,T41 mutants of beta-catenin aren't phosphorylated
O15169,DOC_PP2A_B56_1,R-HSA-5467337.1,APC truncation mutants have impaired AXIN binding
O15169,DOC_PP2A_B56_1,R-HSA-5467340.1,AXIN missense mutants destabilize the destruction complex
O15169,DOC_PP2A_B56_1,R-HSA-5467348.2,Truncations of AMER1 destabilize the destruction complex
O15234,DOC_ANK_TNKS_1,R-HSA-109688.1,Cleavage of Growing Transcript in the Termination Region 
O15234,DOC_ANK_TNKS_1,R-HSA-159236.2,Transport of Mature mRNA derived from an Intron-Containing Transcript
O15234,DOC_ANK_TNKS_1,R-HSA-72163.1,mRNA Splicing - Major Pathway
O15234,DOC_ANK_TNKS_1,R-HSA-72187.2,mRNA 3'-end processing
O15234,DOC_ANK_TNKS_1,R-HSA-975957.1,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
O15350,DEG_MDM2_SWIB_1,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,DEG_MDM2_SWIB_1,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,DEG_MDM2_SWIB_1,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,DEG_MDM2_SWIB_1,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,DEG_MDM2_SWIB_1,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,DEG_MDM2_SWIB_1,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,DOC_WW_Pin1_4,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,DOC_WW_Pin1_4,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,DOC_WW_Pin1_4,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,DOC_WW_Pin1_4,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,DOC_WW_Pin1_4,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,DOC_WW_Pin1_4,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,DOC_WW_Pin1_4,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,DOC_WW_Pin1_4,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,DOC_WW_Pin1_4,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,DOC_WW_Pin1_4,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,DOC_WW_Pin1_4,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,DOC_WW_Pin1_4,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,DOC_WW_Pin1_4,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,DOC_WW_Pin1_4,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,DOC_WW_Pin1_4,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,DOC_WW_Pin1_4,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,DOC_WW_Pin1_4,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,DOC_WW_Pin1_4,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,LIG_SH3_3,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,LIG_SH3_3,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,LIG_SH3_3,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,LIG_SH3_3,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,LIG_SH3_3,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,LIG_SH3_3,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,LIG_WW_1,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,LIG_WW_1,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,LIG_WW_1,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,LIG_WW_1,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,LIG_WW_1,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,LIG_WW_1,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,TRG_NES_CRM1_1,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,TRG_NES_CRM1_1,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,TRG_NES_CRM1_1,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,TRG_NES_CRM1_1,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,TRG_NES_CRM1_1,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,TRG_NES_CRM1_1,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15350,TRG_NLS_Bipartite_1,R-HSA-139915.2,Activation of PUMA and translocation to mitochondria
O15350,TRG_NLS_Bipartite_1,R-HSA-6803204.1,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
O15350,TRG_NLS_Bipartite_1,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15350,TRG_NLS_Bipartite_1,R-HSA-6803207.1,TP53 Regulates Transcription of Caspase Activators and Caspases
O15350,TRG_NLS_Bipartite_1,R-HSA-6803211.1,TP53 Regulates Transcription of Death Receptors and Ligands
O15350,TRG_NLS_Bipartite_1,R-HSA-6804759.1,Regulation of TP53 Activity through Association with Co-factors
O15392,MOD_PKA_2,R-HSA-2467813.1,Separation of Sister Chromatids
O15392,MOD_PKA_2,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O15392,MOD_PKA_2,R-HSA-4615885.1,SUMOylation of DNA replication proteins
O15392,MOD_PKA_2,R-HSA-5663220.1,RHO GTPases Activate Formins
O15392,MOD_PKA_2,R-HSA-6803205.1,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
O15392,MOD_PKA_2,R-HSA-68877.1,Mitotic Prometaphase
O43683,DEG_APCC_KENBOX_2,R-HSA-2467813.1,Separation of Sister Chromatids
O43683,DEG_APCC_KENBOX_2,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O43683,DEG_APCC_KENBOX_2,R-HSA-5663220.1,RHO GTPases Activate Formins
O43683,DEG_APCC_KENBOX_2,R-HSA-68877.1,Mitotic Prometaphase
O43683,DEG_APCC_KENBOX_2,R-HSA-2467813.1,Separation of Sister Chromatids
O43683,DEG_APCC_KENBOX_2,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O43683,DEG_APCC_KENBOX_2,R-HSA-5663220.1,RHO GTPases Activate Formins
O43683,DEG_APCC_KENBOX_2,R-HSA-68877.1,Mitotic Prometaphase
O43683,LIG_APCC_ABBA_1,R-HSA-2467813.1,Separation of Sister Chromatids
O43683,LIG_APCC_ABBA_1,R-HSA-2500257.1,Resolution of Sister Chromatid Cohesion
O43683,LIG_APCC_ABBA_1,R-HSA-5663220.1,RHO GTPases Activate Formins
