uniprot_id,elm,kegg_id,kegg_name
O00206,MOD_N-GLC_1,hsa04145,Phagosome 
O00206,MOD_N-GLC_1,hsa04151,PI3K Akt signaling pathway 
O00206,MOD_N-GLC_1,hsa04217,Necroptosis 
O00206,MOD_N-GLC_1,hsa04613,Neutrophil extracellular trap formation 
O00206,MOD_N-GLC_1,hsa04620,Toll like receptor signaling pathway 
O00206,MOD_N-GLC_1,hsa04621,NOD like receptor signaling pathway 
O00206,MOD_N-GLC_1,hsa05130,Pathogenic Escherichia coli infection 
O00206,MOD_N-GLC_1,hsa05131,Shigellosis 
O00206,MOD_N-GLC_1,hsa05132,Salmonella infection 
O00206,MOD_N-GLC_1,hsa05133,Pertussis 
O00206,MOD_N-GLC_1,hsa05134,Legionellosis 
O00206,MOD_N-GLC_1,hsa05135,Yersinia infection 
O00206,MOD_N-GLC_1,hsa05140,Leishmaniasis 
O00206,MOD_N-GLC_1,hsa05142,Chagas disease 
O00206,MOD_N-GLC_1,hsa05144,Malaria 
O00206,MOD_N-GLC_1,hsa05145,Toxoplasmosis 
O00206,MOD_N-GLC_1,hsa05146,Amoebiasis 
O00206,MOD_N-GLC_1,hsa05152,Tuberculosis 
O00206,MOD_N-GLC_1,hsa05161,Hepatitis B 
O00206,MOD_N-GLC_1,hsa05162,Measles 
O00206,MOD_N-GLC_1,hsa05164,Influenza A 
O00206,MOD_N-GLC_1,hsa05170,Human immunodeficiency virus 1 infection 
O00206,MOD_N-GLC_1,hsa05171,Coronavirus disease   COVID 19 
O00206,MOD_N-GLC_1,hsa05205,Proteoglycans in cancer 
O00206,MOD_N-GLC_1,hsa05235,PD L1 expression and PD 1 checkpoint pathway in cancer 
O00206,MOD_N-GLC_1,hsa05321,Inflammatory bowel disease 
O00206,MOD_N-GLC_1,hsa05323,Rheumatoid arthritis 
O00206,MOD_N-GLC_1,hsa05417,Lipid and atherosclerosis 
O00221,DEG_SCF_TRCP1_1,hsa04658,Th1 and Th2 cell differentiation 
O00221,DEG_SCF_TRCP1_1,hsa04659,Th17 cell differentiation 
O00221,DEG_SCF_TRCP1_1,hsa04660,T cell receptor signaling pathway 
O00221,DEG_SCF_TRCP1_1,hsa04662,B cell receptor signaling pathway 
O00221,DEG_SCF_TRCP1_1,hsa04722,Neurotrophin signaling pathway 
O00221,DEG_SCF_TRCP1_1,hsa04920,Adipocytokine signaling pathway 
O00221,DEG_SCF_TRCP1_1,hsa05169,Epstein Barr virus infection 
O00221,DEG_SCF_TRCP1_1,hsa05235,PD L1 expression and PD 1 checkpoint pathway in cancer 
O00268,LIG_HP1_1,hsa03022,Basal transcription factors 
O00268,LIG_HP1_1,hsa05016,Huntington disease 
O00291,LIG_Clathr_ClatBox_1,hsa05016,Huntington disease 
O00291,LIG_PIP2_ANTH_1,hsa05016,Huntington disease 
O00291,LIG_Clathr_ClatBox_1,hsa05022,Pathways of neurodegeneration   multiple diseases 
O00291,LIG_PIP2_ANTH_1,hsa05022,Pathways of neurodegeneration   multiple diseases 
O00401,LIG_GBD_Chelix_1,hsa04144,Endocytosis 
O00401,LIG_GBD_WASP_1,hsa04144,Endocytosis 
O00401,LIG_GBD_Chelix_1,hsa04520,Adherens junction 
O00401,LIG_GBD_WASP_1,hsa04520,Adherens junction 
O00401,LIG_GBD_Chelix_1,hsa04810,Regulation of actin cytoskeleton 
O00401,LIG_GBD_WASP_1,hsa04810,Regulation of actin cytoskeleton 
O00401,LIG_GBD_Chelix_1,hsa05100,Bacterial invasion of epithelial cells 
O00401,LIG_GBD_WASP_1,hsa05100,Bacterial invasion of epithelial cells 
O00401,LIG_GBD_Chelix_1,hsa05130,Pathogenic Escherichia coli infection 
O00401,LIG_GBD_WASP_1,hsa05130,Pathogenic Escherichia coli infection 
O00401,LIG_GBD_Chelix_1,hsa05131,Shigellosis 
O00401,LIG_GBD_WASP_1,hsa05131,Shigellosis 
O00401,LIG_GBD_Chelix_1,hsa05132,Salmonella infection 
O00401,LIG_GBD_WASP_1,hsa05132,Salmonella infection 
O00401,LIG_GBD_Chelix_1,hsa05135,Yersinia infection 
O00401,LIG_GBD_WASP_1,hsa05135,Yersinia infection 
O00408,MOD_NMyristoyl,hsa00230,Purine metabolism 
O00408,MOD_NMyristoyl,hsa01100,Metabolic pathways 
O00408,MOD_NMyristoyl,hsa04022,cGMP PKG signaling pathway 
O00408,MOD_NMyristoyl,hsa04740,Olfactory transduction 
O00408,MOD_NMyristoyl,hsa04925,Aldosterone synthesis and secretion 
O00408,MOD_NMyristoyl,hsa05032,Morphine addiction 
O00418,MOD_CDK_SPxxK_3,hsa04152,AMPK signaling pathway 
O00418,MOD_CDK_SPxxK_3,hsa04921,Oxytocin signaling pathway 
O00443,MOD_CDK_SPK_2,hsa00562,Inositol phosphate metabolism 
O00443,MOD_CDK_SPK_2,hsa01100,Metabolic pathways 
O00443,MOD_CDK_SPK_2,hsa04070,Phosphatidylinositol signaling system 
O00443,MOD_CDK_SPK_2,hsa05132,Salmonella infection 
O00444,MOD_Plk_4,hsa04068,FoxO signaling pathway 
O00499,LIG_AP2alpha_1,hsa04144,Endocytosis 
O00499,LIG_Clathr_ClatBox_1,hsa04144,Endocytosis 
O00499,LIG_Clathr_ClatBox_2,hsa04144,Endocytosis 
O00499,LIG_AP2alpha_1,hsa04666,Fc gamma R mediated phagocytosis 
O00499,LIG_Clathr_ClatBox_1,hsa04666,Fc gamma R mediated phagocytosis 
O00499,LIG_Clathr_ClatBox_2,hsa04666,Fc gamma R mediated phagocytosis 
O00571,LIG_eIF4E_2,hsa04622,RIG I like receptor signaling pathway 
O00571,LIG_eIF4E_2,hsa05161,Hepatitis B 
O00571,LIG_eIF4E_2,hsa05203,Viral carcinogenesis 
O00716,DOC_CYCLIN_RxL_1,hsa01522,Endocrine resistance 
O00716,LIG_RB_pABgroove_1,hsa01522,Endocrine resistance 
O00716,DOC_CYCLIN_RxL_1,hsa04110,Cell cycle 
O00716,LIG_RB_pABgroove_1,hsa04110,Cell cycle 
O00716,DOC_CYCLIN_RxL_1,hsa04218,Cellular senescence 
O00716,LIG_RB_pABgroove_1,hsa04218,Cellular senescence 
O00716,DOC_CYCLIN_RxL_1,hsa04934,Cushing syndrome 
O00716,LIG_RB_pABgroove_1,hsa04934,Cushing syndrome 
O00716,DOC_CYCLIN_RxL_1,hsa05160,Hepatitis C 
O00716,LIG_RB_pABgroove_1,hsa05160,Hepatitis C 
O00716,DOC_CYCLIN_RxL_1,hsa05161,Hepatitis B 
O00716,LIG_RB_pABgroove_1,hsa05161,Hepatitis B 
O00716,DOC_CYCLIN_RxL_1,hsa05163,Human cytomegalovirus infection 
O00716,LIG_RB_pABgroove_1,hsa05163,Human cytomegalovirus infection 
O00716,DOC_CYCLIN_RxL_1,hsa05166,Human T cell leukemia virus 1 infection 
O00716,LIG_RB_pABgroove_1,hsa05166,Human T cell leukemia virus 1 infection 
O00716,DOC_CYCLIN_RxL_1,hsa05167,Kaposi sarcoma associated herpesvirus infection 
O00716,LIG_RB_pABgroove_1,hsa05167,Kaposi sarcoma associated herpesvirus infection 
O00716,DOC_CYCLIN_RxL_1,hsa05169,Epstein Barr virus infection 
O00716,LIG_RB_pABgroove_1,hsa05169,Epstein Barr virus infection 
O00716,DOC_CYCLIN_RxL_1,hsa05200,Pathways in cancer 
O00716,LIG_RB_pABgroove_1,hsa05200,Pathways in cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05206,MicroRNAs in cancer 
O00716,LIG_RB_pABgroove_1,hsa05206,MicroRNAs in cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05212,Pancreatic cancer 
O00716,LIG_RB_pABgroove_1,hsa05212,Pancreatic cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05214,Glioma 
O00716,LIG_RB_pABgroove_1,hsa05214,Glioma 
O00716,DOC_CYCLIN_RxL_1,hsa05215,Prostate cancer 
O00716,LIG_RB_pABgroove_1,hsa05215,Prostate cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05218,Melanoma 
O00716,LIG_RB_pABgroove_1,hsa05218,Melanoma 
O00716,DOC_CYCLIN_RxL_1,hsa05219,Bladder cancer 
O00716,LIG_RB_pABgroove_1,hsa05219,Bladder cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05220,Chronic myeloid leukemia 
O00716,LIG_RB_pABgroove_1,hsa05220,Chronic myeloid leukemia 
O00716,DOC_CYCLIN_RxL_1,hsa05222,Small cell lung cancer 
O00716,LIG_RB_pABgroove_1,hsa05222,Small cell lung cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05223,Non small cell lung cancer 
O00716,LIG_RB_pABgroove_1,hsa05223,Non small cell lung cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05224,Breast cancer 
O00716,LIG_RB_pABgroove_1,hsa05224,Breast cancer 
O00716,DOC_CYCLIN_RxL_1,hsa05225,Hepatocellular carcinoma 
O00716,LIG_RB_pABgroove_1,hsa05225,Hepatocellular carcinoma 
O00716,DOC_CYCLIN_RxL_1,hsa05226,Gastric cancer 
O00716,LIG_RB_pABgroove_1,hsa05226,Gastric cancer 
O01382,LIG_BIR_III_4,dme04214,Apoptosis   fly 
O01382,LIG_BIR_III_4,dme04215,Apoptosis   multiple species 
O02002,LIG_BIR_III_4,dme04214,Apoptosis   fly 
O02002,LIG_BIR_III_4,dme04215,Apoptosis   multiple species 
O08665,LIG_NRP_CendR_1,mmu04360,Axon guidance 
O08808,LIG_PROFILIN_1,mmu04510,Focal adhesion 
O08808,LIG_PROFILIN_1,mmu04810,Regulation of actin cytoskeleton 
O08808,LIG_PROFILIN_1,mmu04933,AGE RAGE signaling pathway in diabetic complications 
O08838,LIG_AP2alpha_1,rno04144,Endocytosis 
O08838,LIG_AP2alpha_2,rno04144,Endocytosis 
O08838,LIG_AP2alpha_1,rno04666,Fc gamma R mediated phagocytosis 
O08838,LIG_AP2alpha_2,rno04666,Fc gamma R mediated phagocytosis 
O13286,DEG_APCC_TPR_1,spo04111,Cell cycle   yeast 
O13286,DEG_APCC_TPR_1,spo04120,Ubiquitin mediated proteolysis 
O14490,DOC_PP2B_LxvP_1,hsa04724,Glutamatergic synapse 
O14490,LIG_Arc_Nlobe_1,hsa04724,Glutamatergic synapse 
O14490,LIG_DLG_GKlike_1,hsa04724,Glutamatergic synapse 
O14576,LIG_KLC1_WD_1,hsa04145,Phagosome 
O14576,LIG_KLC1_WD_1,hsa04962,Vasopressin regulated water reabsorption 
O14576,LIG_KLC1_WD_1,hsa05132,Salmonella infection 
O14649,LIG_14-3-3_CterR_2,hsa04925,Aldosterone synthesis and secretion 
O14649,LIG_14-3-3_CterR_2,hsa04927,Cortisol synthesis and secretion 
O14649,LIG_14-3-3_CterR_2,hsa04934,Cushing syndrome 
O14672,TRG_ER_diArg_1,hsa05010,Alzheimer disease 
O14672,TRG_ER_diArg_1,hsa05120,Epithelial cell signaling in Helicobacter pylori infection 
O14686,LIG_KEPE_1,hsa00310,Lysine degradation 
O14686,LIG_WD40_WDR5_WIN_1,hsa00310,Lysine degradation 
O14686,LIG_KEPE_1,hsa01100,Metabolic pathways 
O14686,LIG_WD40_WDR5_WIN_1,hsa01100,Metabolic pathways 
O14686,LIG_KEPE_1,hsa04934,Cushing syndrome 
O14686,LIG_WD40_WDR5_WIN_1,hsa04934,Cushing syndrome 
O14746,MOD_PKB_1,hsa05165,Human papillomavirus infection 
O14746,MOD_PKB_1,hsa05166,Human T cell leukemia virus 1 infection 
O14746,MOD_PKB_1,hsa05200,Pathways in cancer 
O14746,MOD_PKB_1,hsa05225,Hepatocellular carcinoma 
O14746,MOD_PKB_1,hsa05226,Gastric cancer 
O14757,LIG_BIR_III_1,hsa04110,Cell cycle 
O14757,MOD_PIKK_1,hsa04110,Cell cycle 
O14757,LIG_BIR_III_1,hsa04115,p53 signaling pathway 
O14757,MOD_PIKK_1,hsa04115,p53 signaling pathway 
O14757,LIG_BIR_III_1,hsa04218,Cellular senescence 
O14757,MOD_PIKK_1,hsa04218,Cellular senescence 
O14757,LIG_BIR_III_1,hsa05166,Human T cell leukemia virus 1 infection 
O14757,MOD_PIKK_1,hsa05166,Human T cell leukemia virus 1 infection 
O14757,LIG_BIR_III_1,hsa05170,Human immunodeficiency virus 1 infection 
O14757,MOD_PIKK_1,hsa05170,Human immunodeficiency virus 1 infection 
O14757,LIG_BIR_III_1,hsa05203,Viral carcinogenesis 
O14757,MOD_PIKK_1,hsa05203,Viral carcinogenesis 
O14920,DEG_Kelch_Keap1_1,hsa01523,Antifolate resistance 
O14920,MOD_Plk_1,hsa01523,Antifolate resistance 
O14920,DEG_Kelch_Keap1_1,hsa04010,MAPK signaling pathway 
O14920,MOD_Plk_1,hsa04010,MAPK signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04014,Ras signaling pathway 
O14920,MOD_Plk_1,hsa04014,Ras signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04062,Chemokine signaling pathway 
O14920,MOD_Plk_1,hsa04062,Chemokine signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04064,NF kappa B signaling pathway 
O14920,MOD_Plk_1,hsa04064,NF kappa B signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04068,FoxO signaling pathway 
O14920,MOD_Plk_1,hsa04068,FoxO signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04150,mTOR signaling pathway 
O14920,MOD_Plk_1,hsa04150,mTOR signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04151,PI3K Akt signaling pathway 
O14920,MOD_Plk_1,hsa04151,PI3K Akt signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04210,Apoptosis 
O14920,MOD_Plk_1,hsa04210,Apoptosis 
O14920,DEG_Kelch_Keap1_1,hsa04380,Osteoclast differentiation 
O14920,MOD_Plk_1,hsa04380,Osteoclast differentiation 
O14920,DEG_Kelch_Keap1_1,hsa04620,Toll like receptor signaling pathway 
O14920,MOD_Plk_1,hsa04620,Toll like receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04621,NOD like receptor signaling pathway 
O14920,MOD_Plk_1,hsa04621,NOD like receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04622,RIG I like receptor signaling pathway 
O14920,MOD_Plk_1,hsa04622,RIG I like receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04623,Cytosolic DNA sensing pathway 
O14920,MOD_Plk_1,hsa04623,Cytosolic DNA sensing pathway 
O14920,DEG_Kelch_Keap1_1,hsa04625,C type lectin receptor signaling pathway 
O14920,MOD_Plk_1,hsa04625,C type lectin receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04657,IL 17 signaling pathway 
O14920,MOD_Plk_1,hsa04657,IL 17 signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04658,Th1 and Th2 cell differentiation 
O14920,MOD_Plk_1,hsa04658,Th1 and Th2 cell differentiation 
O14920,DEG_Kelch_Keap1_1,hsa04659,Th17 cell differentiation 
O14920,MOD_Plk_1,hsa04659,Th17 cell differentiation 
O14920,DEG_Kelch_Keap1_1,hsa04660,T cell receptor signaling pathway 
O14920,MOD_Plk_1,hsa04660,T cell receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04662,B cell receptor signaling pathway 
O14920,MOD_Plk_1,hsa04662,B cell receptor signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04668,TNF signaling pathway 
O14920,MOD_Plk_1,hsa04668,TNF signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04722,Neurotrophin signaling pathway 
O14920,MOD_Plk_1,hsa04722,Neurotrophin signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04910,Insulin signaling pathway 
O14920,MOD_Plk_1,hsa04910,Insulin signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04920,Adipocytokine signaling pathway 
O14920,MOD_Plk_1,hsa04920,Adipocytokine signaling pathway 
O14920,DEG_Kelch_Keap1_1,hsa04930,Type II diabetes mellitus 
O14920,MOD_Plk_1,hsa04930,Type II diabetes mellitus 
O14920,DEG_Kelch_Keap1_1,hsa04931,Insulin resistance 
O14920,MOD_Plk_1,hsa04931,Insulin resistance 
O14920,DEG_Kelch_Keap1_1,hsa04932,Non alcoholic fatty liver disease 
O14920,MOD_Plk_1,hsa04932,Non alcoholic fatty liver disease 
O14920,DEG_Kelch_Keap1_1,hsa05010,Alzheimer disease 
O14920,MOD_Plk_1,hsa05010,Alzheimer disease 
O14920,DEG_Kelch_Keap1_1,hsa05120,Epithelial cell signaling in Helicobacter pylori infection 
O14920,MOD_Plk_1,hsa05120,Epithelial cell signaling in Helicobacter pylori infection 
O14920,DEG_Kelch_Keap1_1,hsa05130,Pathogenic Escherichia coli infection 
O14920,MOD_Plk_1,hsa05130,Pathogenic Escherichia coli infection 
O14920,DEG_Kelch_Keap1_1,hsa05131,Shigellosis 
O14920,MOD_Plk_1,hsa05131,Shigellosis 
O14920,DEG_Kelch_Keap1_1,hsa05132,Salmonella infection 
O14920,MOD_Plk_1,hsa05132,Salmonella infection 
O14920,DEG_Kelch_Keap1_1,hsa05135,Yersinia infection 
O14920,MOD_Plk_1,hsa05135,Yersinia infection 
O14920,DEG_Kelch_Keap1_1,hsa05142,Chagas disease 
O14920,MOD_Plk_1,hsa05142,Chagas disease 
O14920,DEG_Kelch_Keap1_1,hsa05145,Toxoplasmosis 
O14920,MOD_Plk_1,hsa05145,Toxoplasmosis 
O14920,DEG_Kelch_Keap1_1,hsa05160,Hepatitis C 
O14920,MOD_Plk_1,hsa05160,Hepatitis C 
O14920,DEG_Kelch_Keap1_1,hsa05161,Hepatitis B 
O14920,MOD_Plk_1,hsa05161,Hepatitis B 
O14920,DEG_Kelch_Keap1_1,hsa05162,Measles 
O14920,MOD_Plk_1,hsa05162,Measles 
O14920,DEG_Kelch_Keap1_1,hsa05163,Human cytomegalovirus infection 
O14920,MOD_Plk_1,hsa05163,Human cytomegalovirus infection 
O14920,DEG_Kelch_Keap1_1,hsa05164,Influenza A 
O14920,MOD_Plk_1,hsa05164,Influenza A 
O14920,DEG_Kelch_Keap1_1,hsa05165,Human papillomavirus infection 
O14920,MOD_Plk_1,hsa05165,Human papillomavirus infection 
O14920,DEG_Kelch_Keap1_1,hsa05166,Human T cell leukemia virus 1 infection 
O14920,MOD_Plk_1,hsa05166,Human T cell leukemia virus 1 infection 
O14920,DEG_Kelch_Keap1_1,hsa05167,Kaposi sarcoma associated herpesvirus infection 
O14920,MOD_Plk_1,hsa05167,Kaposi sarcoma associated herpesvirus infection 
O14920,DEG_Kelch_Keap1_1,hsa05168,Herpes simplex virus 1 infection 
O14920,MOD_Plk_1,hsa05168,Herpes simplex virus 1 infection 
O14920,DEG_Kelch_Keap1_1,hsa05169,Epstein Barr virus infection 
O14920,MOD_Plk_1,hsa05169,Epstein Barr virus infection 
O14920,DEG_Kelch_Keap1_1,hsa05170,Human immunodeficiency virus 1 infection 
O14920,MOD_Plk_1,hsa05170,Human immunodeficiency virus 1 infection 
O14920,DEG_Kelch_Keap1_1,hsa05171,Coronavirus disease   COVID 19 
O14920,MOD_Plk_1,hsa05171,Coronavirus disease   COVID 19 
O14920,DEG_Kelch_Keap1_1,hsa05200,Pathways in cancer 
O14920,MOD_Plk_1,hsa05200,Pathways in cancer 
O14920,DEG_Kelch_Keap1_1,hsa05206,MicroRNAs in cancer 
O14920,MOD_Plk_1,hsa05206,MicroRNAs in cancer 
O14920,DEG_Kelch_Keap1_1,hsa05208,Chemical carcinogenesis   reactive oxygen species 
O14920,MOD_Plk_1,hsa05208,Chemical carcinogenesis   reactive oxygen species 
O14920,DEG_Kelch_Keap1_1,hsa05212,Pancreatic cancer 
O14920,MOD_Plk_1,hsa05212,Pancreatic cancer 
O14920,DEG_Kelch_Keap1_1,hsa05215,Prostate cancer 
O14920,MOD_Plk_1,hsa05215,Prostate cancer 
O14920,DEG_Kelch_Keap1_1,hsa05220,Chronic myeloid leukemia 
O14920,MOD_Plk_1,hsa05220,Chronic myeloid leukemia 
O14920,DEG_Kelch_Keap1_1,hsa05221,Acute myeloid leukemia 
O14920,MOD_Plk_1,hsa05221,Acute myeloid leukemia 
O14920,DEG_Kelch_Keap1_1,hsa05222,Small cell lung cancer 
O14920,MOD_Plk_1,hsa05222,Small cell lung cancer 
O14920,DEG_Kelch_Keap1_1,hsa05235,PD L1 expression and PD 1 checkpoint pathway in cancer 
O14920,MOD_Plk_1,hsa05235,PD L1 expression and PD 1 checkpoint pathway in cancer 
O14920,DEG_Kelch_Keap1_1,hsa05417,Lipid and atherosclerosis 
O14920,MOD_Plk_1,hsa05417,Lipid and atherosclerosis 
O14920,DEG_Kelch_Keap1_1,hsa05418,Fluid shear stress and atherosclerosis 
O14920,MOD_Plk_1,hsa05418,Fluid shear stress and atherosclerosis 
O14964,LIG_PTAP_UEV_1,hsa04144,Endocytosis 
O14964,LIG_PTAP_UEV_1,hsa04145,Phagosome 
O14965,DEG_APCC_DBOX_1,hsa04114,Oocyte meiosis 
O14965,DEG_APCC_DBOX_1,hsa04914,Progesterone mediated oocyte maturation 
O14974,DOC_PP1_MyPhoNE_1,hsa04022,cGMP PKG signaling pathway 
O14974,DOC_PP1_RVXF_1,hsa04022,cGMP PKG signaling pathway 
O14974,DOC_PP1_MyPhoNE_1,hsa04024,cAMP signaling pathway 
O14974,DOC_PP1_RVXF_1,hsa04024,cAMP signaling pathway 
O14974,DOC_PP1_MyPhoNE_1,hsa04270,Vascular smooth muscle contraction 
O14974,DOC_PP1_RVXF_1,hsa04270,Vascular smooth muscle contraction 
O14974,DOC_PP1_MyPhoNE_1,hsa04510,Focal adhesion 
O14974,DOC_PP1_RVXF_1,hsa04510,Focal adhesion 
O14974,DOC_PP1_MyPhoNE_1,hsa04611,Platelet activation 
O14974,DOC_PP1_RVXF_1,hsa04611,Platelet activation 
O14974,DOC_PP1_MyPhoNE_1,hsa04810,Regulation of actin cytoskeleton 
O14974,DOC_PP1_RVXF_1,hsa04810,Regulation of actin cytoskeleton 
O14974,DOC_PP1_MyPhoNE_1,hsa04921,Oxytocin signaling pathway 
O14974,DOC_PP1_RVXF_1,hsa04921,Oxytocin signaling pathway 
O14974,DOC_PP1_MyPhoNE_1,hsa05205,Proteoglycans in cancer 
O14974,DOC_PP1_RVXF_1,hsa05205,Proteoglycans in cancer 
O15047,LIG_WD40_WDR5_WIN_1,hsa00310,Lysine degradation 
O15047,LIG_WD40_WDR5_WIN_1,hsa01100,Metabolic pathways 
O15055,MOD_CK1_1,hsa04710,Circadian rhythm 
O15055,MOD_CK1_1,hsa04713,Circadian entrainment 
O15055,MOD_CK1_1,hsa05202,Transcriptional misregulation in cancer 
O15055,MOD_CK1_1,hsa05221,Acute myeloid leukemia 
O15111,MOD_PKB_1,hsa01523,Antifolate resistance 
O15111,MOD_PKB_1,hsa04010,MAPK signaling pathway 
O15111,MOD_PKB_1,hsa04014,Ras signaling pathway 
O15111,MOD_PKB_1,hsa04062,Chemokine signaling pathway 
O15111,MOD_PKB_1,hsa04064,NF kappa B signaling pathway 
O15111,MOD_PKB_1,hsa04068,FoxO signaling pathway 
O15111,MOD_PKB_1,hsa04150,mTOR signaling pathway 
O15111,MOD_PKB_1,hsa04151,PI3K Akt signaling pathway 
O15111,MOD_PKB_1,hsa04210,Apoptosis 
O15111,MOD_PKB_1,hsa04380,Osteoclast differentiation 
O15111,MOD_PKB_1,hsa04620,Toll like receptor signaling pathway 
O15111,MOD_PKB_1,hsa04621,NOD like receptor signaling pathway 
O15111,MOD_PKB_1,hsa04622,RIG I like receptor signaling pathway 
O15111,MOD_PKB_1,hsa04623,Cytosolic DNA sensing pathway 
O15111,MOD_PKB_1,hsa04625,C type lectin receptor signaling pathway 
O15111,MOD_PKB_1,hsa04657,IL 17 signaling pathway 
O15111,MOD_PKB_1,hsa04658,Th1 and Th2 cell differentiation 
O15111,MOD_PKB_1,hsa04659,Th17 cell differentiation 
O15111,MOD_PKB_1,hsa04660,T cell receptor signaling pathway 
O15111,MOD_PKB_1,hsa04662,B cell receptor signaling pathway 
O15111,MOD_PKB_1,hsa04668,TNF signaling pathway 
O15111,MOD_PKB_1,hsa04920,Adipocytokine signaling pathway 
